TS|CH0|CH1|CH2
6710|3.906|0.000|-1.754
6720|3.877|0.000|-1.632
6730|3.891|0.000|-1.607
6740|3.891|0.000|-1.524
6750|3.907|0.000|-1.519
6760|3.874|0.000|-1.495
6770|3.889|0.000|-1.412
6780|3.897|0.000|-1.353
6790|3.902|0.000|-1.241
6800|3.877|0.000|-1.241
6810|3.891|0.000|-1.143
6820|3.906|0.000|-1.168
6830|3.902|0.000|-1.070
6840|3.905|0.000|-1.050
6850|3.867|0.000|-1.045
6860|3.905|0.000|-1.050
6870|3.872|0.000|-0.938
6880|3.906|0.000|-0.889
6890|3.886|0.000|-0.850
6900|3.871|0.000|-0.816
6910|3.891|0.000|-0.757
6920|3.890|0.000|-0.694
6930|3.895|0.000|-0.620
6940|3.902|0.000|-0.606
6950|3.896|0.000|-0.518
6960|3.893|0.000|-0.484
6970|3.902|0.000|-0.435
6980|3.868|0.000|-0.381
6990|3.867|0.000|-0.386
7000|3.905|0.000|-0.288
7010|3.896|0.000|-0.249
7020|3.877|0.000|-0.210
7030|3.888|0.000|-0.073
7040|3.877|0.000|-0.064
7050|3.877|0.000|-0.034
7060|3.891|0.000|0.073
7070|3.901|0.000|0.054
7080|3.877|0.000|0.117
7090|3.906|0.000|0.151
7100|3.888|0.000|0.308
7110|3.888|0.000|0.371
7120|3.907|0.000|0.313
7130|3.888|0.000|0.337
7140|3.872|0.000|0.469
7150|3.897|0.000|0.469
7160|3.905|0.000|0.503
7170|3.882|0.000|0.606
7180|3.902|0.000|0.694
7190|3.902|0.000|0.660
7200|3.886|0.000|0.703
7210|3.879|0.000|0.777
7220|3.875|0.000|0.855
7230|3.897|0.000|0.904
7240|3.902|0.000|0.987
7250|3.886|0.000|0.977
7260|3.839|0.000|1.094
7270|3.906|0.000|1.094
7280|3.891|0.000|1.148
7290|3.862|0.000|1.246
7300|3.902|0.000|1.270
7310|3.906|0.000|1.285
7320|3.878|0.000|1.446
7330|3.907|0.000|1.475
7340|3.907|0.000|1.451
7350|3.905|0.000|1.558
7360|3.882|0.000|1.602
7370|3.905|0.000|1.597
7380|3.896|0.000|1.724
7390|3.877|0.000|1.734
7400|3.867|0.000|1.754
